,ORCA-Fusion-BT,ORCA-Fusion,ORCA_Flash4.0,Kinetix,iXon897Life,Panda4.2
519,0.784390244,0.784390244,0.877686755,0.927667269,0.978799043,0.959765545
520,0.784390244,0.784390244,0.879472693,0.928511151,0.98,0.960244648
521,0.784390244,0.784390244,0.881355932,0.929475588,0.981200957,0.960519878
522,0.784390244,0.784390244,0.883239171,0.931283906,0.982401914,0.962426096
523,0.784390244,0.784390244,0.885207156,0.932073538,0.983253589,0.963302752
524,0.784390244,0.784390244,0.88700565,0.934466546,0.983253589,0.963302752
525,0.784390244,0.784390244,0.888025738,0.934900542,0.98361244,0.965086646
526,0.784390244,0.784390244,0.889435028,0.935635925,0.984813397,0.966360856
527,0.784390244,0.784390244,0.890772128,0.936708861,0.985645933,0.966360856
528,0.784390244,0.784390244,0.89225361,0.938517179,0.985645933,0.966360856
529,0.784390244,0.784390244,0.892655367,0.938517179,0.986023923,0.966595311
530,0.784390244,0.784390244,0.893188952,0.939783002,0.98722488,0.968501529
531,0.784468293,0.784468293,0.894538606,0.940325497,0.988232057,0.96941896
532,0.7872223,0.7872223,0.896007533,0.940325497,0.988832536,0.96941896
533,0.788292683,0.788292683,0.896421846,0.941537071,0.989433014,0.96941896
534,0.788292683,0.788292683,0.896421846,0.942133816,0.990033493,0.96941896
535,0.788292683,0.788292683,0.898305085,0.942133816,0.990430622,0.96941896
536,0.788292683,0.788292683,0.898305085,0.942133816,0.990430622,0.96941896
537,0.788292683,0.788292683,0.898305085,0.942133816,0.990430622,0.96941896
538,0.788292683,0.788292683,0.900188324,0.943942134,0.990430622,0.96941896
539,0.788292683,0.788292683,0.900188324,0.943942134,0.990643541,0.96941896
540,0.788292683,0.788292683,0.900188324,0.943942134,0.991244019,0.96941896
541,0.788292683,0.788292683,0.902071563,0.943942134,0.991844498,0.96941896
542,0.788292683,0.788292683,0.902071563,0.943942134,0.992444976,0.96941896
543,0.788292683,0.788292683,0.903954802,0.945575648,0.992822967,0.96941896
544,0.788292683,0.788292683,0.903954802,0.945750452,0.992822967,0.96941896
545,0.788292683,0.788292683,0.903954802,0.945750452,0.992822967,0.969571865
546,0.790656446,0.790656446,0.905838041,0.945750452,0.992822967,0.971478084
547,0.792195122,0.792195122,0.905838041,0.946106088,0.992822967,0.972477064
548,0.792195122,0.792195122,0.905838041,0.94755877,0.992822967,0.972477064
549,0.792195122,0.792195122,0.907721281,0.94755877,0.992822967,0.972477064
550,0.792195122,0.792195122,0.907721281,0.949367089,0.992822967,0.972477064
551,0.792195122,0.792195122,0.909601381,0.949367089,0.99330622,0.972477064
552,0.792195122,0.792195122,0.90960452,0.950837854,0.994507177,0.972477064
553,0.792195122,0.792195122,0.911487759,0.951175407,0.995215311,0.972477064
554,0.792195122,0.792195122,0.911487759,0.952007233,0.995215311,0.972477064
555,0.792195122,0.792195122,0.913355304,0.952983725,0.995173445,0.972477064
556,0.792195122,0.792195122,0.913370998,0.953176612,0.995073365,0.972477064
557,0.792195122,0.792195122,0.914290647,0.954792043,0.994973285,0.972477064
558,0.792195122,0.792195122,0.915254237,0.954792043,0.994873206,0.972477064
559,0.792195122,0.792195122,0.915254237,0.956600362,0.994773126,0.972477064
560,0.792195122,0.792195122,0.916635279,0.956600362,0.994673046,0.973700306
561,0.792195122,0.792195122,0.917137476,0.956600362,0.994572967,0.975535168
562,0.792195122,0.792195122,0.917137476,0.95840868,0.994472887,0.975535168
563,0.789842509,0.789842509,0.917137476,0.95840868,0.994372807,0.975535168
564,0.788292683,0.788292683,0.917137476,0.95840868,0.994272727,0.975535168
565,0.788292683,0.788292683,0.917137476,0.95840868,0.994172648,0.975535168
566,0.788292683,0.788292683,0.917137476,0.959023508,0.994072568,0.975963303
